District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Yadadri Bhuvanagiri,Bibinagar,,0.00,21.34,35.67,46.50,86.44,0.00,7.06
Yadadri Bhuvanagiri,Bommalaramaram,,0.00,20.43,38.37,29.44,92.09,0.10,9.98
Yadadri Bhuvanagiri,Choutuppal,,0.09,21.96,36.89,25.13,89.20,0.28,9.65
Yadadri Bhuvanagiri,Gundala,,0.08,21.26,35.85,43.15,87.55,0.07,8.12
Yadadri Bhuvanagiri,Mootakondur,,0.02,20.91,35.56,36.30,94.74,0.01,8.10
Yadadri Bhuvanagiri,Mothkur,,0.20,21.37,36.97,29.58,98.82,0.01,10.74
Yadadri Bhuvanagiri,Narayanapur,,0.03,22.26,37.30,25.12,81.50,0.14,4.12
Yadadri Bhuvanagiri,Pochampalle,,0.00,22.54,35.83,34.80,88.72,0.00,11.82
Yadadri Bhuvanagiri,Rajapet,,0.01,20.04,37.05,38.07,83.17,0.00,7.30
Yadadri Bhuvanagiri,Ramannapeta,,0.04,21.30,36.03,37.60,95.91,0.20,11.87
Yadadri Bhuvanagiri,Turkapalle_M,,0.00,21.63,34.45,29.77,82.06,0.31,12.17
Yadadri Bhuvanagiri,Valigonda,,0.08,21.03,36.71,35.03,92.14,0.00,6.64
Yadadri Bhuvanagiri,Yadagirigutta,,0.00,22.24,36.94,42.97,80.92,0.02,6.40
